name,type,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9,experiment_order,,,
fan0,position,3,2,2,1,1,2,2,3,1,3,0,,"3, 2, 2, 1, 1, 2, 2, 3, 1, 3","3, 1, 3, 2, 1, 1, 2, 3, 1, 3"
fan0,answer,3,1,3,2,1,1,2,3,1,3,0,0.6,,
fan1,position,2,3,2,1,3,2,1,3,2,1,1,,"2, 3, 2, 1, 3, 2, 1, 3, 2, 1","2, 3, 2, 2, 3, 2, 3, 3, 2, 2"
fan1,answer,2,3,2,2,3,2,3,3,2,2,1,0.7,,
yun0,position,1,3,3,3,1,1,2,1,1,1,1,,,
yun0,answer,1,3,3,1,2,3,3,1,3,2,1,0.5,,
yun1,position,1,2,3,3,2,3,2,1,2,1,0,,,
yun1,answer,1,2,2,3,2,1,2,1,1,3,0,0.6,,
joe0,position,3,3,3,1,2,2,2,3,1,3,0,,,
joe0,answer,3,1,3,1,2,2,3,1,1,2,0,0.6,,
joe1,position,1,2,3,1,1,3,2,3,3,2,1,,,
joe1,answer,1,2,3,1,1,3,2,3,3,2,1,,,
jieying0,position,1,2,1,3,1,3,2,1,3,1,1,,,
jieying0,answer,1,3,2,1,1,3,2,1,3,1,1,,,
jieying1,position,1,3,1,1,3,2,2,3,1,2,0,,,
jieying1,answer,1,3,1,1,2,1,2,3,1,2,0,,,
ycty0,position,3,3,1,3,3,1,1,1,3,2,0,,,
ycty0,answer,3,3,1,3,3,1,1,2,3,2,0,,,
ycty1,position,1,1,1,3,1,3,1,3,2,1,1,,,
ycty1,answer,1,1,1,3,1,3,1,3,2,1,1,,,
leah0,position,3,1,2,3,1,2,1,3,3,3,1,,,
leah0,answer,3,1,2,3,1,2,3,3,3,3,1,,,
leah1,position,1,1,1,3,1,3,3,1,2,2,0,,,
leah1,answer,1,1,1,2,1,1,3,2,2,2,0,,,
dd0,position,3,3,3,2,3,1,3,2,1,2,0,,,
dd0,answer,3,3,1,2,3,1,2,2,1,2,0,,,
dd1,position,2,1,1,3,1,1,2,3,3,3,1,,,
dd1,answer,2,2,1,3,2,1,2,3,3,3,1,,,
aleix0,position,2,2,1,1,2,3,1,3,1,1,1,,,
aleix0,answer,1,2,3,1,2,3,1,1,2,1,1,,,
aleix1,position,2,3,3,3,3,2,1,2,2,1,0,,,
aleix1,answer,1,2,1,3,3,2,3,2,2,3,0,,,
tj0,position,3,2,1,1,2,3,1,2,2,1,0,,,
tj0,answer,3,2,1,3,2,1,1,1,1,1,0,,,
tj1,position,2,1,1,2,3,3,2,3,1,1,1,,,
tj1,answer,2,1,2,1,3,1,1,3,3,2,1,,,
leo0,position,3,3,3,2,3,3,1,3,2,1,1,,,
leo0,answer,2,3,3,2,1,3,1,3,1,1,1,,,
leo1,position,3,1,2,3,2,3,2,2,3,1,0,,,
leo1,answer,3,2,2,3,2,3,2,2,3,1,0,,,